frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,sound-level-decibels
16000,1.5,0.3048,71.3,0.00336729,106.582
12500,0.0,0.3048,39.6,0.00310138,109.619
10000,0.0,0.3048,31.7,0.00331266,108.265
3150,0.0,0.3048,31.7,0.00331266,119.135
4000,3.0,0.3048,39.6,0.00495741,116.792
630,0.0,0.3048,39.6,0.00310138,128.629
8000,1.5,0.3048,39.6,0.00392107,112.251
630,3.0,0.3048,71.3,0.00425727,129.354
4000,3.0,0.3048,31.7,0.00529514,115.608
6300,4.0,0.3048,71.3,0.00497773,116.165
8000,0.0,0.3048,55.5,0.00283081,116.476
5000,3.0,0.3048,71.3,0.00425727,118.134
400,3.0,0.3048,39.6,0.00495741,125.472
6300,0.0,0.3048,71.3,0.00266337,119.541
315,1.5,0.3048,39.6,0.00392107,121.851
2000,1.5,0.3048,39.6,0.00392107,122.101
2500,3.0,0.3048,55.5,0.00452492,122.439
1000,0.0,0.3048,31.7,0.00331266,127.365
800,3.0,0.3048,31.7,0.00529514,128.708
800,3.0,0.3048,55.5,0.00452492,129.949
400,3.0,0.3048,31.7,0.00529514,125.398
12500,4.0,0.3048,71.3,0.00497773,107.405
6300,0.0,0.3048,55.5,0.00283081,117.976
1000,3.0,0.3048,39.6,0.00495741,128.312
250,0.0,0.3048,39.6,0.00310138,119.319
1600,0.0,0.3048,31.7,0.00331266,122.365
3150,1.5,0.3048,71.3,0.00336729,123.392
400,1.5,0.3048,39.6,0.00392107,124.001
500,1.5,0.3048,39.6,0.00392107,126.661
2500,4.0,0.3048,39.6,0.00579636,120.233
10000,0.0,0.3048,71.3,0.00266337,115.391
5000,0.0,0.3048,31.7,0.00331266,115.645
400,4.0,0.3048,39.6,0.00579636,128.633
4000,0.0,0.3048,39.6,0.00310138,119.229
800,3.0,0.3048,39.6,0.00495741,129.552
500,3.0,0.3048,31.7,0.00529514,127.548
1600,4.0,0.3048,39.6,0.00579636,123.213
3150,4.0,0.3048,39.6,0.00579636,118.743
315,3.0,0.3048,39.6,0.00495741,123.312
6300,0.0,0.3048,39.6,0.00310138,116.229
315,0.0,0.3048,31.7,0.00331266,122.765
630,3.0,0.3048,31.7,0.00529514,128.698
8000,0.0,0.3048,31.7,0.00331266,110.515
400,3.0,0.3048,55.5,0.00452492,126.159
10000,0.0,0.3048,39.6,0.00310138,112.139
2500,0.0,0.3048,71.3,0.00266337,125.571
3150,3.0,0.3048,39.6,0.00495741,118.922
800,1.5,0.3048,71.3,0.00336729,127.122
1250,0.0,0.3048,39.6,0.00310138,125.499
1250,1.5,0.3048,71.3,0.00336729,125.872
12500,1.5,0.3048,71.3,0.00336729,109.222
5000,1.5,0.3048,39.6,0.00392107,116.241
2500,1.5,0.3048,71.3,0.00336729,124.512
16000,0.0,0.3048,71.3,0.00266337,108.721
1000,4.0,0.3048,71.3,0.00497773,131.015
1000,0.0,0.3048,55.5,0.00283081,126.966
5000,0.0,0.3048,55.5,0.00283081,119.606
800,3.0,0.3048,71.3,0.00425727,129.494
1250,3.0,0.3048,39.6,0.00495741,125.802
10000,3.0,0.3048,55.5,0.00452492,112.169
1600,4.0,0.3048,71.3,0.00497773,126.645
800,0.0,0.3048,31.7,0.00331266,129.235
1600,1.5,0.3048,39.6,0.00392107,122.211
5000,3.0,0.3048,31.7,0.00529514,113.858
800,4.0,0.3048,39.6,0.00579636,130.723
